Country,Fossil fuels sources,Low-carbon sources
China,"36,223","7,196"
Indonesia,"2,069",183
Russia,"7,557","1,133"
Turkey,"1,582",280
Brazil,"1,840","1,530"
Mexico,"1,658",216
Iran,"3,334",53
